what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1338530319605
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1338530319605
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1338530319617
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1338530319617
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1338530319629
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1338530319633
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1338530319634
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1338530319644
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1338530319695
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1338530319696
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1338530319703
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1338530319704
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1338530319705
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1338530319706
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1338530319707
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1338530319716
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338530319716
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338530319730
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338530319731
started,bundle,org.eclipse.mylyn.compatibility,2.1.0.v20070927-0900,"org.eclipse.mylyn.compatibility",1338530319731
os,sysinfo,,,"win32",1338530319735
arch,sysinfo,,,"x86_64",1338530319735
ws,sysinfo,,,"win32",1338530319735
locale,sysinfo,,,"en_US",1338530319735
processors,sysinfo,,,"2",1338530319735
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338530319735
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1338530319735
java.specification.name,sysinfo,,,"Java Platform API Specification",1338530319735
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338530319735
java.specification.version,sysinfo,,,"1.6",1338530319735
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338530319735
java.version,sysinfo,,,"1.6.0_31",1338530319735
java.vm.info,sysinfo,,,"mixed mode",1338530319735
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338530319735
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338530319735
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338530319735
java.vm.specification.version,sysinfo,,,"1.0",1338530319735
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338530319735
java.vm.version,sysinfo,,,"20.6-b01",1338530319735
started,bundle,com.salesforce.ide.api,20.0.1.201011121559,"com.salesforce.ide.api",1338530320805
started,bundle,com.salesforce.ide.core.compatibility,20.0.1.201011121559,"com.salesforce.ide.core.compatibility",1338530324780
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,20.0.1.201011121559,"com.salesforce.ide.core.compatibility.auth.platformdb",1338530324807
